AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_020313	252.0	6	1.0	258.0	219.0	38.0	1.0
NM_001348711	0	0	0	0	0	0	0
NM_013268	0	0	0	0	0	0	0
NM_032117	155.0	38	4.0	193.0	143.0	3.0	2.0
NM_001005468	0	0	0	0	0	0	0
NM_006475	0	0	0	0	0	0	0
NM_139179	427.0	55	2.0	482.0	396.0	45.0	9.0
NM_016097	359.0	47	2.0	406.0	255.0	30.0	13.0
NM_001170714	37.0	1	0	38.0	37.0	1.0	0
NM_032623	2.0	0	0	2.0	1.0	0	1.0
NM_005554	0	0	0	0	0	0	0
NM_023940	26.0	6	0	32.0	22.0	4.0	0
NM_012238	352.0	24	5.0	376.0	367.0	0	5.0
NM_001330333	421.0	12	0	433.0	151.0	103.0	24.0
NM_001123385	1083.0	41	8.0	1124.0	1081.0	8.0	10.0
NM_001204218	0	0	1.0	0	0	0	0
NM_001010876	0	0	0	0	0	0	0
NM_004388	460.0	46	4.0	506.0	463.0	0	5.0
NM_001318807	35.0	1	0	36.0	2.0	34.0	0
NM_001271904	205.0	4	1.0	209.0	109.0	60.0	8.0
NM_001318878	108.0	11	36.0	119.0	94.0	16.0	4.0
NM_001199053	213.0	25	10.0	238.0	186.0	36.0	2.0
NM_019613	214.0	8	2.0	222.0	133.0	79.0	4.0
NM_006651	0	0	0	0	0	0	0
NM_175066	143.0	21	0	164.0	132.0	0	1.0
NM_003137	923.0	158	9.0	1081.0	986.0	8.0	12.0
NM_018226	125.0	15	1.0	140.0	137.0	0	1.0
NM_001291366	0	0	0	0	0	0	0
NM_007103	1108.0	93	1.0	1201.0	924.0	253.0	3.0
NM_004010	9.0	2	1.0	11.0	11.0	0	0
NM_001199080	0	0	0	0	0	0	0
NM_001080461	0	0	0	0	0	0	0
NM_001098475	1.0	0	0	1.0	0	1.0	0
NM_004428	51.0	6	0	57.0	45.0	9.0	2.0
NM_015312	560.0	87	1.0	647.0	632.0	2.0	0
NM_017817	151.0	6	4.0	157.0	106.0	14.0	3.0
NM_005683	3.0	0	0	3.0	2.0	0	1.0
NM_001289079	176.0	17	5.0	193.0	111.0	77.0	2.0
NM_001172435	835.0	290	15.0	1125.0	965.0	1.0	10.0
NM_198581	124.0	11	0	135.0	96.0	21.0	7.0
NM_005245	21.0	3	0	24.0	24.0	0	0
NM_005500	1195.0	162	3.0	1357.0	1244.0	33.0	12.0
NM_025203	240.0	6	0	246.0	207.0	30.0	0
NM_022782	367.0	29	4.0	396.0	230.0	159.0	5.0
NM_080603	186.0	3	2.0	189.0	161.0	24.0	0
NM_001346992	233.0	20	0	253.0	207.0	2.0	1.0
NM_001195528	1.0	0	0	1.0	0	1.0	0
NM_138983	5.0	0	0	5.0	3.0	0	0
NM_001146015	1000.0	225	2.0	1225.0	997.0	86.0	57.0
NM_013270	2.0	0	0	2.0	2.0	0	0
NM_001270771	0	0	0	0	0	0	0
NM_001100389	147.0	27	0	174.0	134.0	23.0	2.0
NM_001261435	25.0	6	11.0	31.0	25.0	0	5.0
NM_001945	75.0	3	2.0	78.0	31.0	34.0	1.0
NM_001739	0	0	0	0	0	0	0
NM_138394	761.0	86	5.0	847.0	719.0	106.0	13.0
NM_001145664	24.0	2	19.0	26.0	18.0	6.0	0
NM_022742	65.0	5	4.0	70.0	67.0	1.0	2.0
NM_001135995	6.0	0	0	6.0	6.0	0	0
NM_006145	502.0	7	1.0	509.0	409.0	5.0	6.0
NM_006243	528.0	53	5.0	581.0	416.0	140.0	14.0
NM_001320038	2.0	1	0	3.0	2.0	1.0	0
NM_198699	0	0	0	0	0	0	0
NM_006432	2334.0	548	0	2882.0	1987.0	59.0	20.0
NM_020999	0	0	0	0	0	0	0
NM_002205	1559.0	324	5.0	1883.0	1778.0	7.0	11.0
NM_001303530	1100.0	67	5.0	1167.0	536.0	576.0	1.0
NM_003378	6.0	0	0	6.0	5.0	1.0	0
NM_001282544	0	0	0	0	0	0	0
NM_018428	677.0	88	2.0	765.0	638.0	30.0	8.0
NM_003614	0	0	0	0	0	0	0
NM_024907	0	0	0	0	0	0	0
NM_001244892	0	0	0	0	0	0	0
NM_001257965	2.0	0	275.0	2.0	1.0	1.0	0
NM_013338	400.0	97	7.0	497.0	385.0	10.0	14.0
NM_001146288	1.0	0	4.0	1.0	1.0	0	0
NM_017655	4.0	0	170.0	4.0	3.0	0	0
NM_003799	473.0	69	4.0	542.0	405.0	96.0	16.0
NM_006511	1.0	0	0	1.0	1.0	0	0
NM_001172813	0	0	1.0	0	0	0	0
NM_001242865	316.0	62	33.0	378.0	148.0	159.0	54.0
NM_016535	115.0	7	0	122.0	61.0	51.0	1.0
NM_000329	0	0	0	0	0	0	0
NM_001197294	36.0	5	0	41.0	37.0	4.0	0
NM_001143679	747.0	130	0	877.0	808.0	2.0	7.0
NM_001301224	6.0	2	1.0	8.0	4.0	3.0	0
NM_003359	313.0	31	1.0	344.0	253.0	80.0	2.0
NM_001100916	1.0	0	1.0	1.0	1.0	0	0
NM_153698	141.0	7	2.0	148.0	120.0	0	0
NM_031955	0	0	0	0	0	0	0
NM_032136	0	0	0	0	0	0	0
NM_004675	0	0	0	0	0	0	0
NM_001286563	23.0	5	4.0	28.0	28.0	0	0
NM_031924	94.0	8	1.0	102.0	83.0	13.0	3.0
NM_003733	98.0	6	0	104.0	95.0	0	0
NM_001160389	75.0	6	0	81.0	47.0	20.0	0
NM_000344	0	0	0	0	0	0	0
NM_017747	0	10	0	10	10	0	0
NM_006886	1815.0	0	0	1815.0	1360.0	337.0	118.0
NM_017411	0	0	0	0	0	0	0
NM_176820	0	0	0	0	0	0	0
NM_001349382	173.0	29	3.0	202.0	139.0	47.0	10.0
NM_016343	3874.0	146	5.0	4020.0	3857.0	130.0	2.0
NM_001005168	1.0	0	0	1.0	1.0	0	0
NM_001113434	8.0	0	0	8.0	2.0	6.0	0
NM_014797	234.0	17	2.0	251.0	195.0	21.0	0
NM_015305	247.0	15	0	262.0	219.0	3.0	6.0
NM_001310140	0	0	0	0	0	0	0
NM_001039397	0	0	0	0	0	0	0
NM_014043	481.0	106	1.0	587.0	474.0	78.0	6.0
NM_024016	0	0	0	0	0	0	0
NM_001304787	0	0	0	0	0	0	0
NM_144701	1.0	0	0	1.0	1.0	0	0
NM_018487	16.0	5	0	21.0	21.0	0	0
NM_007044	311.0	53	1.0	364.0	298.0	52.0	2.0
NM_004052	112.0	0	0	112.0	108.0	0	4.0
NM_181342	136.0	10	2.0	146.0	97.0	16.0	7.0
NM_001302371	1.0	1	0	2.0	2.0	0	0
NM_138771	108.0	18	11.0	126.0	57.0	68.0	0
NM_001271836	44.0	2	0	46.0	21.0	19.0	1.0
NM_003033	206.0	9	56.0	215.0	97.0	111.0	7.0
NM_001354355	229.0	40	74.0	269.0	71.0	194.0	4.0
NM_139162	92.0	13	1.0	105.0	75.0	24.0	0
NM_001283035	890.0	147	4.0	1037.0	864.0	28.0	31.0
NM_175883	0	0	0	0	0	0	0
NM_003907	604.0	76	0	680.0	616.0	0	6.0
NM_006369	920.0	69	11.0	989.0	982.0	0	4.0
NM_007277	455.0	104	4.0	559.0	411.0	117.0	14.0
NM_021100	276.0	42	3.0	318.0	267.0	25.0	11.0
NM_001319209	0	0	0	0	0	0	0
NM_001037162	0	0	0	0	0	0	0
NM_000716	0	0	0	0	0	0	0
NM_030967	0	0	0	0	0	0	0
NM_001991	103.0	21	0	124.0	103.0	11.0	2.0
NM_001171948	208.0	26	4.0	234.0	107.0	71.0	0
NM_017730	1386.0	80	20.0	1466.0	1298.0	133.0	15.0
NM_080574	0	0	0	0	0	0	0
NM_014237	0	0	0	0	0	0	0
NM_005904	26.0	1	3.0	27.0	20.0	7.0	0
NM_001042590	10.0	0	0	10.0	7.0	2.0	0
NM_006634	59.0	31	0	90.0	41.0	0	1.0
NM_001353457	17.0	0	3.0	17.0	15.0	2.0	0
NM_030810	2305.0	567	5.0	2872.0	2719.0	0	92.0
NM_015613	0	0	0	0	0	0	0
NM_024333	17.0	5	0	22.0	20.0	0	0
NM_001304732	0	0	0	0	0	0	0
NM_032015	300.0	0	0	300.0	145.0	150.0	0
NM_005707	320.0	27	1.0	347.0	281.0	4.0	8.0
NM_001014283	38.0	2	107.0	40.0	29.0	0	8.0
NM_001306	11.0	0	0	11.0	7.0	3.0	0
NM_007351	11012.0	371	11.0	11383.0	10937.0	256.0	52.0
NM_024963	124.0	12	3.0	136.0	96.0	8.0	5.0
NM_005475	252.0	16	16.0	268.0	161.0	93.0	9.0
NM_032345	269.0	40	32.0	309.0	208.0	26.0	2.0
NM_014432	0	0	0	0	0	0	0
NM_000498	0	0	0	0	0	0	0
