AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001286617	1.0	0	2.0	1.0	0	1.0	0
NM_001350921	0	0	0	0	0	0	0
NM_001040874	0	0	0	0	0	0	0
NM_153368	0	0	0	0	0	0	0
NM_001076780	0	0	0	0	0	0	0
NM_001037165	440.0	51	8.0	491.0	384.0	0	31.0
NM_001142286	1508.0	209	5.0	1717.0	992.0	658.0	19.0
NM_004092	2581.0	391	0	2972.0	1426.0	17.0	18.0
NM_001300846	2.0	0	0	2.0	1.0	1.0	0
NM_003366	5067.0	943	14.0	6010.0	3806.0	1039.0	76.0
NM_016001	1793.0	84	1.0	1877.0	1006.0	55.0	7.0
NM_016558	1619.0	78	357.0	1697.0	552.0	771.0	0
NM_001166400	0	0	0	0	0	0	0
NM_005234	318.0	7	6.0	325.0	311.0	3.0	5.0
NM_003650	806.0	23	0	829.0	124.0	611.0	1.0
NM_153333	555.0	196	0	751.0	220.0	454.0	2.0
NM_020226	55.0	1	5.0	56.0	31.0	20.0	0
NM_001130136	0	0	0	0	0	0	0
NM_001291380	0	0	0	0	0	0	0
NM_002841	0	0	0	0	0	0	0
NM_001351149	241.0	9	8.0	250.0	81.0	162.0	0
NM_001110	2030.0	163	99.0	2193.0	1262.0	849.0	11.0
NM_001195131	91.0	7	8.0	98.0	1.0	93.0	0
NM_001324	1399.0	200	16.0	1599.0	941.0	473.0	7.0
NM_007104	3975.0	238	56.0	4213.0	3150.0	24.0	0
NM_001136180	103.0	20	1.0	123.0	40.0	63.0	0
NM_021978	33.0	3	0	36.0	27.0	8.0	1.0
NM_001321420	3005.0	83	30.0	3088.0	895.0	532.0	23.0
NM_001006610	169.0	0	0	169.0	156.0	0	13.0
NM_080870	0	0	0	0	0	0	0
NM_033035	6.0	0	9.0	6.0	5.0	0	1.0
NM_001099670	2011.0	121	2.0	2132.0	173.0	1720.0	3.0
NM_022070	441.0	33	1.0	474.0	325.0	0	4.0
NM_001284304	423.0	75	46.0	498.0	216.0	274.0	8.0
NM_002729	768.0	16	11.0	784.0	290.0	7.0	2.0
NM_012269	0	0	0	0	0	0	0
NM_001301687	0	0	0	0	0	0	0
NM_001242336	790.0	6	1.0	796.0	441.0	262.0	29.0
NM_001355534	0	0	0	0	0	0	0
NM_017426	2320.0	316	5.0	2636.0	1496.0	18.0	33.0
NM_181352	1496.0	102	10.0	1598.0	1454.0	80.0	29.0
NM_001145206	45.0	2	129.0	47.0	45.0	0	2.0
NM_000181	1227.0	117	1.0	1344.0	1016.0	15.0	5.0
NM_003250	289.0	27	29.0	316.0	113.0	185.0	3.0
NM_001204099	0	0	2.0	0	0	0	0
NM_005836	598.0	16	1.0	614.0	162.0	107.0	4.0
NM_000579	14.0	0	0	14.0	8.0	3.0	0
NM_001002907	0	0	0	0	0	0	0
NM_018146	768.0	26	1.0	794.0	422.0	0	3.0
NM_006902	0	0	0	0	0	0	0
NM_003074	2984.0	567	7.0	3551.0	2940.0	181.0	64.0
NM_004752	0	0	0	0	0	0	0
NM_004803	0	0	0	0	0	0	0
NM_001301317	30.0	2	11.0	32.0	17.0	14.0	1.0
NM_014612	2230.0	344	7.0	2574.0	2058.0	371.0	28.0
NM_001099270	137.0	8	17.0	145.0	70.0	53.0	3.0
NM_019118	43.0	30	6.0	73.0	18.0	0	0
NM_013363	15.0	2	514.0	17.0	11.0	6.0	0
NM_020315	906.0	4	0	910.0	278.0	14.0	12.0
NM_004213	0	0	0	0	0	0	0
NM_001287252	3.0	0	0	3.0	1.0	0	0
NM_007261	145.0	18	1.0	163.0	68.0	51.0	3.0
NM_001329456	356.0	9	0	365.0	90.0	265.0	8.0
NM_002766	563.0	69	1.0	632.0	375.0	194.0	14.0
NM_197978	4469.0	161	4.0	4630.0	2591.0	897.0	30.0
NM_001073	0	0	0	0	0	0	0
NM_181832	1167.0	42	4.0	1209.0	233.0	938.0	28.0
NM_152462	0	0	0	0	0	0	0
NM_001282444	689.0	20	280.0	709.0	525.0	64.0	11.0
NM_004318	598.0	62	8.0	660.0	360.0	193.0	12.0
NM_001288743	76.0	4	5.0	80.0	15.0	12.0	3.0
NM_001204199	798.0	26	50.0	824.0	97.0	238.0	5.0
NM_006218	270.0	47	4.0	317.0	195.0	61.0	5.0
NM_001130841	805.0	67	1.0	872.0	385.0	400.0	10.0
NM_033130	54.0	8	1.0	62.0	39.0	10.0	0
NM_001177718	42.0	3	0	45.0	37.0	1.0	1.0
NM_002272	0	0	0	0	0	0	0
NM_001272071	44.0	0	0	44.0	24.0	20.0	0
NM_001017975	5.0	0	1.0	5.0	3.0	2.0	0
NM_054028	0	0	0	0	0	0	0
NM_014691	2241.0	279	1.0	2520.0	1786.0	395.0	26.0
NM_001099773	1.0	0	0	1.0	0	0	0
NM_001354	13.0	1	0	14.0	3.0	1.0	0
NM_053023	861.0	60	1.0	921.0	570.0	83.0	5.0
NM_001424	35.0	3	0	38.0	17.0	15.0	0
NM_014023	405.0	44	9.0	449.0	220.0	143.0	12.0
NM_024783	10.0	0	3.0	10.0	1.0	6.0	0
NM_001270448	2169.0	254	1.0	2423.0	1217.0	1172.0	3.0
NM_007170	116.0	2	2.0	118.0	22.0	92.0	1.0
NM_017632	2135.0	6	8.0	2141.0	1062.0	475.0	5.0
NM_014637	511.0	120	5.0	631.0	121.0	483.0	11.0
NM_001349338	691.0	108	169.0	799.0	521.0	258.0	8.0
NM_182565	1225.0	27	1.0	1252.0	291.0	529.0	11.0
NM_203434	43.0	0	0	43.0	15.0	19.0	1.0
NM_004363	0	0	0	0	0	0	0
NM_001876	3764.0	485	56.0	4249.0	2162.0	375.0	54.0
NM_020718	58.0	2	4.0	60.0	43.0	0	6.0
NM_004814	1550.0	104	567.0	1654.0	999.0	51.0	55.0
NM_000083	0	0	0	0	0	0	0
NM_001164665	24.0	3	2.0	27.0	24.0	0	1.0
NM_001281469	0	0	0	0	0	0	0
NM_032266	0	0	0	0	0	0	0
NM_014235	1710.0	76	10.0	1786.0	578.0	57.0	77.0
NM_003631	78.0	41	2.0	119.0	111.0	0	8.0
NM_001142443	512.0	32	4.0	544.0	395.0	95.0	6.0
NM_020366	2.0	0	5.0	2.0	2.0	0	0
NM_001350877	0	0	0	0	0	0	0
NM_001127208	474.0	19	2.0	493.0	281.0	200.0	2.0
NM_177998	0	0	0	0	0	0	0
NM_016034	1881.0	146	4.0	2027.0	972.0	19.0	13.0
NM_002814	430.0	7	1.0	437.0	315.0	34.0	11.0
NM_001307986	1.0	0	0	1.0	1.0	0	0
NM_005663	1243.0	81	5.0	1324.0	866.0	15.0	10.0
NM_003112	631.0	41	10.0	672.0	494.0	144.0	2.0
NM_004212	0	0	0	0	0	0	0
NM_003596	26.0	0	4.0	26.0	3.0	23.0	0
NM_001272069	826.0	17	0	843.0	159.0	13.0	125.0
NM_003314	749.0	717	1.0	1466.0	451.0	896.0	16.0
NM_018352	994.0	198	3.0	1192.0	174.0	843.0	5.0
NM_015833	127.0	11	58.0	138.0	68.0	67.0	2.0
NM_001286819	15.0	1	3.0	16.0	5.0	7.0	1.0
NM_032420	18.0	0	0	18.0	14.0	4.0	0
NM_018930	0	0	0	0	0	0	0
NM_018648	4615.0	87	0	4702.0	608.0	2313.0	50.0
NM_133267	0	0	0	0	0	0	0
NM_024562	608.0	41	3.0	649.0	527.0	0	13.0
NM_002857	755.0	79	0	834.0	374.0	0	9.0
NM_001004473	0	0	0	0	0	0	0
NM_017931	650.0	112	3.0	762.0	422.0	72.0	5.0
NM_000134	0	0	0	0	0	0	0
NM_001480	0	0	0	0	0	0	0
NM_003301	0	0	0	0	0	0	0
NM_001040441	17.0	1	1.0	18.0	12.0	3.0	0
NM_001348677	4.0	0	0	4.0	3.0	0	0
NM_006716	1016.0	3	3.0	1019.0	191.0	744.0	0
NM_022147	11.0	0	0	11.0	7.0	2.0	0
NM_001205266	0	0	0	0	0	0	0
NM_001033045	177.0	13	3.0	190.0	102.0	83.0	0
NM_001003443	0	0	0	0	0	0	0
NM_152432	12.0	1	13.0	13.0	5.0	6.0	2.0
NM_000808	0	0	0	0	0	0	0
NM_003705	391.0	96	1.0	487.0	253.0	10.0	4.0
NM_001346932	0	0	0	0	0	0	0
NM_001297760	1.0	0	0	1.0	1.0	0	0
NM_006275	3858.0	13	24.0	3871.0	1381.0	2372.0	4.0
NM_001018077	297.0	35	358.0	332.0	296.0	1.0	3.0
NM_001136483	0	0	0	0	0	0	0
NM_001008215	477.0	5	2.0	482.0	44.0	238.0	7.0
NM_004701	3925.0	187	2.0	4112.0	1692.0	2173.0	14.0
NM_001194958	0	0	0	0	0	0	0
NM_001199692	372.0	48	196.0	420.0	349.0	53.0	2.0
NM_181617	0	0	0	0	0	0	0
NM_001001418	0	0	0	0	0	0	0
NM_000791	143.0	0	4.0	143.0	0	143.0	0
NM_014225	4586.0	488	3.0	5074.0	2698.0	1877.0	37.0
NM_001745	371.0	3	4.0	374.0	155.0	66.0	3.0
NM_021175	1.0	0	0	1.0	0	0	0
NM_016426	1143.0	120	51.0	1263.0	797.0	115.0	26.0
NM_001348291	0	0	0	0	0	0	0
NM_006051	116.0	2	0	118.0	26.0	83.0	0
NM_018932	0	0	0	0	0	0	0
NM_014484	627.0	0	0	627.0	308.0	0	4.0
NM_019617	0	0	0	0	0	0	0
NM_213649	695.0	44	129.0	739.0	197.0	73.0	3.0
NM_001317980	195.0	5	47.0	200.0	154.0	14.0	0
NM_002949	2986.0	150	5.0	3136.0	1294.0	1036.0	42.0
NM_001347995	1.0	0	0	1.0	0	0	0
NM_030919	1344.0	57	2.0	1401.0	636.0	7.0	14.0
NM_001291459	0	0	0	0	0	0	0
NM_152357	239.0	28	2.0	267.0	63.0	181.0	3.0
NM_003601	5755.0	764	2.0	6519.0	3781.0	2189.0	47.0
NM_182529	75.0	0	0	75.0	70.0	3.0	0
NM_001130142	389.0	46	6.0	435.0	258.0	27.0	3.0
NM_006261	0	0	0	0	0	0	0
NM_148962	4.0	0	0	4.0	3.0	0	1.0
NM_018452	642.0	5	7.0	647.0	94.0	7.0	3.0
NM_002649	274.0	6	0	280.0	253.0	11.0	2.0
NM_001291465	0	0	0	0	0	0	0
NM_024591	514.0	70	0	584.0	210.0	64.0	12.0
NM_001429	1689.0	138	4.0	1827.0	1635.0	109.0	18.0
NM_001001674	0	0	0	0	0	0	0
NM_006844	385.0	96	61.0	481.0	328.0	97.0	4.0
NM_001277313	29.0	0	7.0	29.0	27.0	0	2.0
NM_178175	0	0	0	0	0	0	0
NM_017649	691.0	5	18.0	696.0	267.0	416.0	3.0
NM_001001964	0	0	0	0	0	0	0
NM_001002762	958.0	22	8.0	980.0	975.0	0	3.0
NM_001349727	0	0	0	0	0	0	0
NM_001080826	97.0	7	19.0	104.0	93.0	9.0	0
NM_003328	3.0	0	4.0	3.0	1.0	2.0	0
NM_004539	3944.0	716	2.0	4660.0	2735.0	1233.0	72.0
NM_001005272	0	0	0	0	0	0	0
NM_001286752	330.0	21	3.0	351.0	122.0	216.0	9.0
NM_001024210	20.0	0	7.0	20.0	1.0	11.0	0
NM_004081	0	0	0	0	0	0	0
NM_016084	34.0	1	0	35.0	18.0	4.0	0
NM_032775	143.0	29	14.0	172.0	90.0	30.0	1.0
NM_001178055	105.0	23	90.0	128.0	114.0	0	7.0
NM_182542	0	0	45.0	0	0	0	0
NM_002022	42.0	4	218.0	46.0	12.0	21.0	0
NM_021214	34.0	0	0	34.0	13.0	2.0	2.0
NM_033114	569.0	3	0	572.0	56.0	508.0	1.0
NM_001352680	446.0	14	5.0	460.0	52.0	387.0	3.0
NM_206998	0	0	0	0	0	0	0
NM_022551	1533.0	554	18.0	2087.0	1437.0	109.0	9.0
NM_001198759	0	0	0	0	0	0	0
NM_020675	557.0	135	0	692.0	243.0	346.0	6.0
NM_000196	65.0	3	1.0	68.0	58.0	2.0	1.0
NM_001001414	0	0	0	0	0	0	0
NM_031488	933.0	270	1.0	1203.0	836.0	175.0	22.0
NM_002773	12.0	0	0	12.0	4.0	8.0	0
NM_000168	0	0	6.0	0	0	0	0
NM_002111	1213.0	153	9.0	1366.0	1050.0	255.0	8.0
NM_007236	784.0	35	0	819.0	248.0	328.0	17.0
