AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_006767	289.0	31	44.0	320.0	205.0	14.0	97.0
NM_005919	0	2	68.0	2	0	2	0
NM_004897	1041.0	35	581.0	1076.0	720.0	34.0	294.0
NM_001354586	0	0	0	0	0	0	0
NM_001258419	0	0	13.0	0	0	0	0
NM_001261828	19.0	0	26.0	19.0	10.0	5.0	4.0
NM_031485	215.0	16	2.0	231.0	158.0	5.0	63.0
NM_001164425	0	0	0	0	0	0	0
NM_002362	0	0	0	0	0	0	0
NM_020927	0	0	2.0	0	0	0	0
NM_015354	590.0	97	120.0	687.0	643.0	4.0	37.0
NM_152751	5.0	1	42.0	6.0	5.0	0	0
NM_002582	320.0	54	543.0	374.0	243.0	35.0	92.0
NM_006983	1.0	1	0	2.0	1	0	1.0
NM_001272068	431.0	7	36.0	438.0	109.0	0	328.0
NM_001105248	49.0	0	5.0	49.0	0	0	49.0
NM_032527	173.0	18	52.0	191.0	170.0	14.0	3.0
NM_206997	0	0	0	0	0	0	0
NM_152268	39.0	0	8.0	39.0	28.0	1.0	9.0
NM_001282446	18.0	1	118.0	19.0	13.0	4.0	0
NM_025244	28.0	4	288.0	32.0	12.0	13.0	7.0
NM_001278346	324.0	35	418.0	359.0	176.0	134.0	38.0
NM_019105	15.0	0	10.0	15.0	15.0	0	0
NM_144680	95.0	3	63.0	98.0	67.0	15.0	15.0
NM_024592	129.0	3	40.0	132.0	80.0	6.0	38.0
NM_017631	169.0	31	124.0	200.0	169.0	19.0	12.0
NM_183372	0	8	1.0	8	6	2	0
NM_145641	53.0	1	46.0	54.0	13.0	21.0	19.0
NM_019082	381.0	45	52.0	426.0	320.0	39.0	57.0
NM_001291774	5.0	2	3.0	7.0	7.0	0	0
NM_006764	287.0	32	15.0	319.0	258.0	1.0	59.0
NM_018328	154.0	8	4948.0	162.0	101.0	49.0	9.0
NM_001278535	31.0	0	1.0	31.0	20.0	7.0	2.0
NM_016417	350.0	1	40.0	351.0	138.0	41.0	140.0
NM_017784	0	0	6.0	0	0	0	0
NM_181837	152.0	12	293.0	164.0	135.0	13.0	13.0
NM_175039	137.0	12	21.0	149.0	91.0	25.0	31.0
NM_032630	118.0	12	24.0	130.0	84.0	5.0	34.0
NM_001809	188.0	10	24.0	198.0	62.0	42.0	89.0
NM_024577	128.0	1	54.0	129.0	59.0	1.0	69.0
NM_001351305	0	0	2.0	0	0	0	0
NM_001470	52.0	9	51.0	61.0	40.0	1.0	18.0
NM_001130478	0	0	0	0	0	0	0
NM_032174	146.0	18	5.0	164.0	58.0	14.0	87.0
NM_001317185	30.0	1	8.0	31.0	3.0	19.0	9.0
NM_013271	15.0	2	0	17.0	15.0	0	1.0
NM_001796	0	0	59.0	0	0	0	0
NM_000321	607.0	98	1050.0	705.0	414.0	18.0	264.0
NM_001286550	0	0	0	0	0	0	0
NM_001285439	936.0	106	1857.0	1042.0	757.0	18.0	257.0
NM_018847	761.0	0	0	761.0	307.0	138.0	309.0
NM_001004478	0	0	0	0	0	0	0
NM_006320	297.0	7	99.0	304.0	84.0	1.0	219.0
NM_001135091	0	0	0	0	0	0	0
NM_001320302	0	0	6.0	0	0	0	0
NM_001308363	80.0	0	27.0	80.0	79.0	0	1.0
