"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"uc007wrw.1",324.19242031919,0.267248544338351,0.226404114813013,1.18040497876583,0.237839182713177,0.511431968056439
"uc008bph.1",30948.0715149733,0.00542149916438995,0.129161713010512,0.0419745065160966,0.96651902105383,0.986572838244592
"uc009bao.1",1659.11230547952,0.0116996357542765,0.166637994172147,0.070209893082307,0.944026600218049,0.97665100078814
"uc009cgu.2",188.459042719128,0.0757036295380769,0.225298781668087,0.336014376010273,0.736860025647748,0.885534771648577
"uc008ryf.2",175.512927022109,0.302557892481332,0.21199244529503,1.42721072942134,0.15351916275035,0.405278271172438
"uc008ifp.1",172.58108426356,0.608704551666668,0.21026732128595,2.89490800540931,0.00379269665805261,0.0460017401105736
"uc007jje.1",311.711576932605,-0.210805549152748,0.223939119597717,-0.941352049304465,0.346524477739968,0.616876851817108
"uc007ckz.1",300.804915593061,-0.200060480251631,0.226274904747253,-0.884147892914139,0.376616382487934,0.643807491061764
"uc008zxu.1",224.512164313864,0.41726700694584,0.194199335313023,2.14865311600198,0.0316619077925055,0.166550796257341
"uc009lod.2",9043.87899767139,0.10594677532273,0.105738978966184,1.00196518217385,0.31636040923013,0.587410351375276
"uc008hvb.1",235.862198620833,-0.040492216187616,0.245699784442556,-0.164803629272548,0.869098547359227,0.946558836886303
"uc007czu.1",1372.68841429945,0.397291851573549,0.141755816507214,2.80264938231534,0.00506847377977124,0.0555842624514913
"uc008sdg.2",257.760724776831,-0.361173436810619,0.201382755514214,-1.79346754834292,0.0728981951099338,0.265701851609376
"uc007fuz.2",154.511877603587,-0.258903180146954,0.247648011476708,-1.04544824972804,0.29581584660587,0.569118896351773
"uc007qux.1",538.666281585137,0.788725361093919,0.147992528138952,5.32949447524386,9.84865162296003e-08,3.45622014288411e-05
"uc007fqm.1",6629.23614763312,0.14013669532633,0.122111555640263,1.1476120715321,0.251128744165785,0.524996707422038
"uc007nnh.2",250.07742213395,-0.215619249682977,0.22177412462617,-0.972247100722104,0.330927633617496,0.601731433187461
"uc008vfg.1",326.674450461839,-0.311138439105557,0.17636750553178,-1.76414832294315,0.0777070105252216,0.276059586777999
"uc008lin.2",423.972484197766,0.42030871964743,0.18355162995291,2.28986645204545,0.022029059516997,0.137720866149017
"uc007qpy.1",145.840783965912,-0.142894060109852,0.238940488248024,-0.598032008545683,0.549818575644779,0.783286869335349
"uc007ifj.1",430.169080553648,0.374100019099665,0.179659429042369,2.08227322714824,0.037317519924632,0.181955951353838
"uc008spy.2",147.179993809236,0.118307274097285,0.269129085594903,0.439593044489302,0.660231879275288,0.845199565297936
"uc008yzz.1",167.912445991916,0.320179049853177,0.205081013675424,1.56123204247428,0.11846901126443,0.347394730177333
"uc007mnz.2",1336.14775836873,0.189310893154282,0.149919668761934,1.26274887556549,0.20667944304712,0.478434735356219
"uc009tss.2",440.72975005229,0.0397613348105147,0.174126928546257,0.228346845272425,0.819376609114971,0.923682528818455
"uc012djo.1",855.337279926524,0.131272810447407,0.159956343118695,0.820678992079706,0.411829140078189,0.674088492963801
"uc008mpo.2",144.295767578985,-0.0871136346566643,0.218759607862575,-0.398216268111932,0.690470775269112,0.861920274912374
"uc009gmb.1",168.156699285891,0.166992788131417,0.23692856402539,0.704823366563443,0.480920165197038,0.734851596399771
"uc007xki.2",763.52941502393,0.0434192763313683,0.139093162818606,0.312159673786354,0.754919177495836,0.894014522010816
"uc007tzg.1",236.020962304517,0.145189923258039,0.213953715680895,0.678604355133448,0.497388582619474,0.746694360158713
"uc007eew.1",272.969302561555,-0.0987067256644113,0.197127211949188,-0.500726027058375,0.616563952368061,0.822501937472244
"uc008noj.2",161.472652608873,0.520789897602203,0.232238835282229,2.24247549712911,0.024930657203309,0.147124416500245
"uc008ptc.2",3472.24183250729,0.040454002256637,0.130643303748509,0.309652321212818,0.756825363875105,0.8946617371297
"uc007kiq.2",535.811056104342,-0.321016358764205,0.165692702310064,-1.93742002084969,0.0526940212536921,0.222233220121049
"uc007lrv.2",753.204722239311,0.473986366289501,0.174483326486838,2.71651381156614,0.00659734424575242,0.0660236123757429
"uc008pxg.2",1449.68222277178,-0.0501457782315788,0.136930913715287,-0.366212251645704,0.714206700771518,0.873776430956944
"uc007rlv.2",464.674201302794,0.0940626525061732,0.169140438451112,0.556121607390541,0.578127724860886,0.802790800034462
"uc009tep.1",312.810906938501,0.707793395539385,0.184022561225056,3.84623162957593,0.000119948375983773,0.00574007501071437
"uc008now.1",2007.66060137576,0.296767524076347,0.113201967987367,2.62157566120639,0.00875243321112714,0.0784674290235889
"uc008fyy.1",766.617712481671,0.327918286809557,0.172796168006157,1.89771735446051,0.057733325194592,0.232289122090218
"uc007vho.1",417.5779748452,0.125260416931477,0.232588634831459,0.538549172973325,0.590197966669928,0.806124052036975
"uc008ean.1",1609.44334773413,-0.160409488210726,0.169794415672658,-0.944727702470349,0.34479791025074,0.615844712357832
"uc009cgw.1",325.968233949212,0.0993502358210691,0.238392108746053,0.416751361207605,0.676860282269345,0.854007271139738
"uc008uxo.1",716.48029701684,0.145124202280811,0.154997412190477,0.936300808057798,0.349118332242121,0.619191004353951
"uc009myv.1",180.514325260683,0.135176667447444,0.310548568766426,0.435283498437614,0.663356661132483,0.847336576313761
"uc009rta.3",940.580897678358,0.0443620396498979,0.142767547408593,0.310729156976663,0.756006529669831,0.894436617668035
"uc007gge.2",21490.0920891676,0.0674175569205443,0.1354254303709,0.497820510785182,0.61861055789067,0.824137598982988
"uc009abm.1",635.611692624653,0.44363219148853,0.146436241196905,3.02952457576402,0.00244938974930394,0.0348475341630701
"uc008whc.2",200.485333620097,0.309825644384491,0.206040559977319,1.50371191195848,0.132655560747603,0.369470302526657
"uc009edl.1",127.604430309765,-0.177415316753077,0.24811499436826,-0.715052781089692,0.474576429651151,0.72875447073619
"uc009niz.2",540.85646773131,0.043999280892473,0.154711398198016,0.28439585838503,0.776107032557031,0.904679650253148
"uc033gok.1",496.533401878301,0.403730364644783,0.212429522355707,1.90053792979278,0.0573625622954091,0.231968021027831
"uc007ueb.2",323.805848881722,-0.271050470328079,0.195869694247503,-1.38383056842667,0.166410340636954,0.423794887814671
"uc008gnf.1",314.366772500579,-0.159817255091436,0.177539054284555,-0.900180840409824,0.368024020594007,0.637262646186465
"uc007qzw.2",182.814621403038,0.183880725646198,0.260862268465225,0.704895831536139,0.480875064467159,0.734851596399771
"uc011yyk.1",2181.50500500525,0.381274273029618,0.108103574078044,3.52693494439288,0.000420400044729711,0.0116472938708274
"uc007psb.1",20541.039541013,0.152273681085151,0.117947940990633,1.2910244961143,0.196695183456081,0.467661899599282
"uc008jtc.1",121.787309161461,0.0370146488523381,0.242822739277099,0.152434854176069,0.87884396862342,0.949750492883121
"uc009cqp.1",379.542661944678,0.463560583884704,0.162167987781654,2.85852090924906,0.00425621057602373,0.0496778103596206
"uc012cfv.1",204.103229503248,-0.0129524338600141,0.202465675850902,-0.0639734799766872,0.948991343453297,0.978165347941679
"uc007wzc.2",2271.3863401278,0.21299558832341,0.139539294343872,1.52642013366154,0.126905266647125,0.360901849611273
"uc008xcd.1",2220.37076169491,0.0592056823782529,0.124528036777311,0.475440582783203,0.634472974271517,0.831209528105267
"uc008pvo.1",1395.48211973313,-0.283790781043078,0.136926971704866,-2.07257034541568,0.0382122832308477,0.184880017396307
"uc009uuz.2",167.491203435811,-0.170340268132704,0.245438522440931,-0.694024175335799,0.487667048089525,0.741361037978055
"uc009ngi.1",2028.98009808418,0.299984795005335,0.142606648224036,2.10358211725205,0.0354149152280073,0.177377843730001
"uc012bfw.2",631.985337127852,0.134835541517824,0.154512656950066,0.872650462294483,0.382853626484913,0.649330731837469
"uc007slt.1",254.896826278672,-0.318928311867646,0.214208883009037,-1.48886594891675,0.136522671768026,0.376274233802613
"uc007mce.1",356.042610106964,0.0397369315611897,0.160621068168643,0.24739551301868,0.804602146377414,0.918374666999317
"uc007jgh.1",206.089542907676,0.101215414380417,0.21101590745511,0.47965774524344,0.631470778417086,0.829691514309512
"uc007fwa.1",363.373966280602,-0.25751593071331,0.196603172884944,-1.30982591447806,0.190254734310224,0.460924293323343
"uc008xns.1",200.154183271874,0.12804207961809,0.231449940347383,0.553217164048138,0.58011471518051,0.803758528403983
"uc007apn.2",234.75199131713,0.378835851250136,0.225154800625529,1.68255729035156,0.0924608255378086,0.30113155949723
"uc007rzv.1",2308.12190298301,0.230442039980833,0.157625596354652,1.4619582435225,0.143752652798779,0.388456860540439
"uc007jjg.1",26458.2269912331,0.00855990167753385,0.117448322237651,0.0728822814532274,0.941899793793252,0.976585912114752
"uc007prd.1",17633.2098025574,0.169499085127775,0.119136456074992,1.42273062933047,0.154814257914845,0.406498728385688
"uc007vsb.2",180.952399986883,0.240713197773671,0.214681885026269,1.12125528310978,0.262179213876848,0.536131673076644
"uc007uhs.1",7630.9315465507,0.122875968855498,0.0956075320839703,1.28521222310788,0.198718133449023,0.469502807215286
"uc007xru.2",277.74659086516,0.451978053127408,0.246668412791057,1.83233048777211,0.0669021974832529,0.253361991044492
"uc008rlv.2",368.571709200342,0.109844493248121,0.194938807591361,0.563481918276539,0.573106769319741,0.799584954598228
"uc007pht.1",192.475088380605,-0.0279338994346727,0.20723041798393,-0.134796328195598,0.892772909017547,0.956877561950115
"uc007ybz.1",254.220586548442,-0.25126700878815,0.210391252518118,-1.1942844855991,0.232366704311505,0.505661218257345
"uc008yed.2",149.5025671164,0.409133432453897,0.322769842485355,1.26757019585081,0.204951480990156,0.47674087314723
"uc009kqc.1",642.890557831911,0.565246538474351,0.250547787269719,2.25604282773352,0.0240679490905565,0.145624924152516
"uc007lpg.2",508.922176664349,0.77839139817727,0.139336776829137,5.58640307240479,2.31820837117765e-08,1.10936807871629e-05
"uc009mpo.1",1090.15815543289,-0.158217674198836,0.176287804169582,-0.89749642605246,0.369454079638275,0.6391082074321
"uc007pdd.2",1164.73405424012,-0.030120277342554,0.183577054514083,-0.164074303415971,0.869672650554171,0.946836987076971
