"Gene","TEfc","RNAfc","L24","S15","L24overS15"
"ODF2",-0.12284086891283,0.462895671213321,"noChange","noChange","noChange"
"ABCE1",-0.302794232560854,-1.34671009639079,"noChange","down","noChange"
"PIGX",0.334391153720536,-0.891800611816341,"noChange","noChange","noChange"
"ZFAND2B",-0.155098304828055,1.38196363002695,"noChange","noChange","noChange"
"RPA3",0.0181690446880487,0.00933451093639469,"noChange","noChange","noChange"
"VDAC2",0.810738764262606,-0.774990968804039,"noChange","noChange","noChange"
"CYTH1",-0.155183303434839,-0.206631984774008,"noChange","noChange","noChange"
"MRPL9",0.16796432610293,-0.264516690040469,"noChange","noChange","noChange"
"CMBL",-0.0872872797760855,-2.83279646752021,"noChange","noChange","noChange"
"PPM1G",-0.113716421417934,-0.177479779395721,"noChange","noChange","noChange"
"CACTIN",0.520460072979546,-0.0534444548835908,"noChange","noChange","noChange"
"SPI1",0.999921619289382,-1.42300249729062,"noChange","noChange","noChange"
"SPPL3",0.483098141096069,-0.161983855568251,"noChange","noChange","noChange"
"ATP23",-0.310395051420576,-0.434513953671498,"noChange","noChange","noChange"
"MITD1",-0.632525082262367,-0.326831984120286,"noChange","down","noChange"
"MAX",1.09610943847054,0.841425332888462,"noChange","up","noChange"
"PPP6C",-0.529693675853703,0.0275446481733367,"noChange","down","noChange"
"MRPS35",-0.110780990442157,-1.47853798046685,"noChange","noChange","noChange"
"THOP1",0.232385854815175,-0.777072683981768,"noChange","noChange","noChange"
"PPCDC",0.151453883807782,0.313396146725955,"noChange","noChange","noChange"
"NIF3L1",-0.131092755878174,-0.0940064698832994,"noChange","noChange","noChange"
"USPL1",0.079614193215893,-0.598272287485887,"noChange","noChange","noChange"
"BCCIP",0.0157568551508997,-0.555684048360813,"noChange","noChange","noChange"
"CRYZL1",-0.660135432521005,-0.733458037795146,"down","noChange","noChange"
"HIST1H4L",0.121829727102818,1.44229309779783,"noChange","noChange","noChange"
"HIST1H4E",-0.057202744389194,1.78108045673975,"noChange","noChange","noChange"
"HIST1H4B",0.190012829953715,1.8257771087565,"noChange","noChange","noChange"
"HIST1H4H",0.187276799506081,1.79891301038037,"noChange","noChange","noChange"
"HIST1H4C",0.19714365888284,1.78419219586379,"noChange","noChange","noChange"
"HIST1H4F",-0.0304854895783276,1.90612545579088,"noChange","noChange","noChange"
"PLEKHF2",-0.319862786311415,1.09692380907297,"noChange","noChange","noChange"
"SLC9A8",-0.145465034719616,0.165867195425839,"noChange","noChange","noChange"
"FARS2",0.0449697948466711,-0.405978363574366,"noChange","noChange","noChange"
"SNX17",-0.1286387033137,0.0738062598358887,"noChange","noChange","noChange"
"ITPK1",-0.231339977362002,0.0168885896985795,"noChange","noChange","noChange"
"KIAA0232",-0.211985336730222,2.91124436585466,"noChange","noChange","noChange"
"TM9SF4",-0.0210456634882936,-0.936359519535553,"noChange","noChange","noChange"
"ERCC4",-0.189062650527342,-0.203803366224603,"noChange","noChange","noChange"
"TMEM199",0.436573536138702,0.448133618396244,"noChange","noChange","noChange"
"CTTN",0.155083045155988,0.749787778830716,"noChange","noChange","noChange"
"RPF2",-0.486915129027432,-1.53590576767818,"noChange","noChange","noChange"
"TMC8",0.552846610860347,-0.973454022950197,"noChange","noChange","noChange"
"KLHL7",-0.459716991962157,1.43565523531305,"noChange","noChange","noChange"
"OSBPL8",-0.275032301627323,-0.205310496314483,"noChange","noChange","noChange"
"DUSP23",0.808393780506748,-0.473778426049998,"noChange","noChange","noChange"
"YBEY",0.0474394505576281,0.556350754108937,"noChange","noChange","noChange"
"VEZF1",-0.20100620914995,0.489739773351576,"noChange","noChange","noChange"
"DPP8",-0.234707973690861,-0.163926994039466,"noChange","noChange","noChange"
"UTP4",-0.164409859566411,-2.47344701458358,"noChange","noChange","noChange"
"NBEAL2",0.00208441268964507,-2.63108562044196,"noChange","noChange","noChange"
"SEC14L1",-0.0471155780428227,2.29608641843333,"noChange","noChange","noChange"
"LRCH3",0.284553060428437,-0.00569783723816203,"noChange","noChange","noChange"
"KLF13",0.454338837004056,2.02478923759565,"noChange","noChange","noChange"
"JMJD1C",-0.322071777231061,1.82288240959788,"noChange","noChange","noChange"
"ETV3",-0.278334027177815,0.511318084292718,"noChange","noChange","noChange"
"ATP1B3",-0.126969591398719,0.618181726078224,"noChange","noChange","noChange"
"ZNF609",-0.027148243697014,-1.53390082086685,"noChange","noChange","noChange"
"VEZT",0.191752474666179,-0.0308733754398626,"noChange","noChange","noChange"
"NKAPD1",-0.359973734780936,-0.0736458262810183,"noChange","noChange","noChange"
"PUS7L",-0.613102391276774,-1.06264105477496,"noChange","noChange","noChange"
"S100PBP",-0.108955788990248,-0.013955539736756,"noChange","noChange","noChange"
"PARP12",-0.349795497456179,1.59809786213504,"noChange","noChange","noChange"
"MEAF6",0.345206092679978,0.226779551509987,"noChange","up","noChange"
"LIX1L",0.22142784511093,-1.01755613096288,"noChange","noChange","noChange"
"THUMPD2",0.418393213996544,-0.365420912144348,"noChange","noChange","noChange"
"ZC3H4",0.0543685172659559,-0.466948349255143,"noChange","noChange","noChange"
"RRS1",0.294925704882045,-1.46336407679488,"noChange","noChange","noChange"
"SEPTIN11",-0.230861496401351,-0.646348346659918,"noChange","noChange","noChange"
"PLEKHM2",0.234444759653177,0.7064185116321,"noChange","noChange","noChange"
"MARCH8",0.151644898635974,3.59218405227276,"noChange","noChange","noChange"
"ATP11B",-0.290174109619135,0.688431103431266,"noChange","noChange","noChange"
"GON4L",0.0914888510370557,0.200025641403946,"noChange","noChange","noChange"
"EML4",0.111977878371039,-1.37566405235364,"noChange","noChange","noChange"
"MGME1",-0.0413108768589347,1.17312192849237,"noChange","noChange","noChange"
"FAM120A",-0.0885385122004333,-0.858697821072392,"noChange","noChange","noChange"
"CLPB",0.0770689460915168,-0.160572173094863,"noChange","noChange","noChange"
"CTC1",0.0745192663283454,0.0634694212461197,"noChange","noChange","noChange"
"CBFA2T2",0.0617898437288877,0.106734008004261,"noChange","noChange","noChange"
"LCLAT1",-0.39185540133189,-0.974028107974652,"noChange","noChange","noChange"
"TFDP2",-0.202038321550278,1.89295996049493,"noChange","noChange","noChange"
"USP38",-0.121328657757127,1.51729186297926,"noChange","noChange","noChange"
"ZNF3",-0.0211261767392807,0.396001082027319,"noChange","noChange","noChange"
"UBE2V2",0.0318009737489067,-0.202752461638686,"noChange","noChange","noChange"
"HADHB",-0.231436121945805,0.372188042078403,"noChange","noChange","noChange"
"CTSZ",-0.048165523821692,1.00298150391993,"noChange","noChange","noChange"
"MTA3",-0.154684169309778,-1.6266206369711,"noChange","noChange","noChange"
"TRA2A",-0.142990565932535,0.229981555525904,"noChange","noChange","noChange"
"PTS",-0.361614488305265,0.765691657264462,"noChange","down","noChange"
"OXLD1",0.270823868966464,0.741777682717039,"noChange","up","noChange"
